id,title,description,link,image_link,price,availability,condition,google_product_category,brand
MCM-1101,Wharton MCM Soft Ceramic - India Thin Slabs,"Wharton MCM Soft Ceramic India Thin Slabs — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Designed for exterior facades and interior feature walls. ISO 9001 factory-direct supply. Bulk wholesale inquiries welcome.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1101.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1102,Wharton MCM Soft Ceramic - Star-Moon Stone Fabric,"Transform your space with Wharton MCM Star-Moon Stone Fabric — where celestial texture meets modern luxury. The Star-Moon Stone Fabric finish captures an ethereal interplay of light and shadow, creating a tactile canvas that breathes life into any interior or exterior wall. For architects and designers who refuse to compromise on elegance.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1102.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1103,Wharton MCM Soft Ceramic - Classic Travertine,"Ready to elevate your project? Wharton MCM Classic Travertine combines eco-friendly MCM flexible stone cladding with timeless travertine aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available. WhatsApp Email for bulk orders.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1103.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1104,Wharton MCM Soft Ceramic - Star-Moon Travertine,"Wharton MCM Star-Moon Travertine — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Premium travertine aesthetic for facades and interior accent walls. ISO 9001 certified factory supply. Wholesale pricing available.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1104.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1105,Wharton MCM Soft Ceramic - Star-Moon Stone,"Transform your space with Wharton MCM Star-Moon Stone — where rugged celestial texture meets modern luxury. The Star-Moon Stone finish captures the grandeur of natural rock formations, creating a bold design statement for any interior or exterior wall. Light plays across its surface, revealing depth and character impossible to replicate.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1105.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1106,Wharton MCM Soft Ceramic - Fine Line Travertine,"Ready to elevate your project? Wharton MCM Fine Line Travertine combines eco-friendly MCM flexible stone cladding with delicate linear travertine aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available for distributors and contractors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1106.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1107,Wharton MCM Soft Ceramic - Fine Line Stone,"Wharton MCM Fine Line Stone — Engineered MCM flexible wall cladding, standard 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. Fine-line texture ideal for modern minimalist facades and interior feature walls. Direct from ISO 9001 factory.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1107.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1108,Wharton MCM Soft Ceramic - Coarse Line Travertine,"Transform your space with Wharton MCM Coarse Line Travertine — where bold textured lines meet refined luxury. The Coarse Line Travertine finish brings dramatic depth and organic movement to any wall surface, indoors or out. A tactile masterpiece for architects and designers who demand statement materials.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1108.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1109,Wharton MCM Soft Ceramic - Sandstone,"Ready to elevate your project? Wharton MCM Sandstone combines eco-friendly MCM flexible stone cladding with warm, natural sandstone aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. Bulk orders welcome — WhatsApp Email now.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1109.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1110,Wharton MCM Soft Ceramic - Natural Rock,"Wharton MCM Natural Rock — Engineered MCM flexible wall cladding, standard 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Authentic natural rock appearance for exterior facades and interior accent walls. ISO 9001 factory-direct wholesale supply.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1110.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1111,Wharton MCM Soft Ceramic - Rough Granite,"Transform your space with Wharton MCM Rough Granite — where raw stone texture meets contemporary luxury. The Rough Granite finish captures the untamed beauty of quarried granite, creating a powerful design statement for feature walls, facades, and commercial interiors. For designers who celebrate natural materiality.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1111.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1112,Wharton MCM Soft Ceramic - Mountain Rock,"Ready to elevate your project? Wharton MCM Mountain Rock combines eco-friendly MCM flexible stone cladding with majestic mountain rock aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. MOQ available for wholesale buyers.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1112.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1113,Wharton MCM Soft Ceramic - Split Slate,"Wharton MCM Split Slate — Engineered MCM flexible wall cladding, 600x300mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV and frost resistant. Authentic split-slate texture for modern facades and interior cladding. ISO 9001 certified factory-direct supply. Wholesale pricing available.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1113.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1114,Wharton MCM Soft Ceramic - Ancient Wood,"Transform your space with Wharton MCM Ancient Wood — where centuries-old wood grain texture meets modern luxury. The Ancient Wood finish brings warmth and timeless character to any interior or exterior wall, evoking heritage craftsmanship with contemporary performance. For architects and designers who value organic sophistication.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1114.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1115,Wharton MCM Soft Ceramic - Sawn Wood,"Ready to elevate your project? Wharton MCM Sawn Wood combines eco-friendly MCM flexible cladding with authentic sawn timber aesthetics. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. Bulk orders welcome for distributors and contractors.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1115.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1116,Wharton MCM Soft Ceramic - Moon Peak,"Wharton MCM Moon Peak — Engineered MCM flexible wall cladding, 600x300mm 1200x600mm, thickness 2-4 mm, weight under 3 kg/m2. Fire-rated Class A1 (GB 8624), water absorption under 0.5 percent, UV-resistant. Distinctive Moon Peak texture ideal for premium facades and interior feature walls. Direct from ISO 9001 certified factory. Inquire for wholesale pricing.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1116.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1118,Wharton MCM Soft Ceramic - Wave Panel,"Transform your space with Wharton MCM Wave Panel — where flowing, rhythmic texture meets modern luxury. The Wave Panel finish creates a mesmerizing cascade of light and shadow across any wall surface. Perfect for dynamic feature walls, reception areas, and contemporary facades. For designers who move beyond the flat and ordinary.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1118.jpg,45.00 USD,in stock,new,559,Wharton
MCM-1119,Wharton MCM Soft Ceramic - Hammered Stone,"Ready to elevate your project? Wharton MCM Hammered Stone combines eco-friendly MCM flexible stone cladding with a rich hammered-stone aesthetic. Fast global shipping from China — factory-direct pricing, no middleman markup. Request a free sample or get an instant quote today. WhatsApp Email for wholesale and project inquiries.",https://www.whartonstone.com/,https://www.whartonstone.com/images/mcm1119.jpg,45.00 USD,in stock,new,559,Wharton
